Date,Product,Category,Quantity,Price,Region
2024-01-21,Books,Stationery,15,44832,East
2024-03-28,Sofa,Furniture,11,22062,North
2024-07-10,Notebook,Stationery,2,2533,West
2024-01-22,Laptop,Electronics,12,19869,North
2024-07-06,Laptop,Electronics,10,18531,West
2024-02-20,Notebook,Stationery,15,35873,West
2024-11-02,Books,Stationery,3,3656,East
2024-03-29,Laptop,Electronics,7,21877,West
2024-02-22,Table,Furniture,9,23997,South
2024-02-04,Pen,Stationery,12,17259,South
2024-01-02,Monitor,Electronics,18,4043,South
2024-07-09,Table,Furniture,10,40857,South
2024-09-26,Desk,Furniture,2,37165,East
2024-07-26,Notebook,Stationery,8,24376,North
2024-06-05,Sofa,Furniture,13,40076,East
2024-12-09,Laptop,Electronics,7,2668,North
2024-06-11,Pen,Stationery,19,39604,East
2024-08-18,Tablet,Electronics,5,3661,South
2024-11-23,Monitor,Electronics,7,8492,West
2024-03-02,Chair,Furniture,16,35322,West
2024-02-04,Tablet,Electronics,12,11065,North
2024-05-10,Books,Stationery,15,13873,North
2024-10-09,Mobile,Electronics,14,25546,North
2024-06-27,Pen,Stationery,10,23519,East
2024-08-18,Books,Stationery,4,18241,North
2024-07-05,Pen,Stationery,4,16298,East
2024-02-14,Desk,Furniture,2,43789,South
2024-01-28,Headphones,Electronics,6,29567,West
2024-12-13,Table,Furniture,11,18147,North
2024-10-09,Notebook,Stationery,1,30180,South
2024-12-24,Monitor,Electronics,13,9574,South
2024-11-02,Books,Stationery,5,32068,South
2024-02-21,Pen,Stationery,9,46676,West
2024-04-22,Sofa,Furniture,2,24038,North
2024-04-22,Printer,Electronics,17,49950,South
2024-08-12,Desk,Furniture,5,38723,North
2024-06-20,Notebook,Stationery,2,21656,South
2024-07-02,Desk,Furniture,4,33070,East
2024-11-20,Mouse,Electronics,6,2427,West
2024-08-27,Table,Furniture,11,44642,West
2024-09-15,Laptop,Electronics,6,15808,West
2024-05-26,Pen,Stationery,3,30306,West
2024-05-07,Books,Stationery,1,18443,East
2024-05-30,Desk,Furniture,1,1902,East
2024-09-08,Table,Furniture,3,16746,West
2024-10-30,Desk,Furniture,17,2149,South
2024-04-08,Headphones,Electronics,9,7500,East
2024-04-25,Notebook,Stationery,1,12283,East
2024-04-13,Printer,Electronics,4,42505,West
2024-04-08,Sofa,Furniture,16,2657,North
2024-11-05,Mobile,Electronics,14,12069,East
2024-03-08,Laptop,Electronics,4,24836,North
2024-05-14,Chair,Furniture,16,4087,East
2024-01-22,Printer,Electronics,1,4655,South
2024-02-20,Table,Furniture,6,3536,South
2024-10-12,Pen,Stationery,2,48504,North
2024-11-12,Books,Stationery,5,27743,West
2024-01-17,Pen,Stationery,17,40547,West
2024-01-06,Chair,Furniture,14,36312,East
2024-06-29,Headphones,Electronics,17,401,East
2024-05-07,Books,Stationery,1,19878,South
2024-06-22,Mobile,Electronics,3,34763,West
2024-05-30,Desk,Furniture,15,11193,South
2024-09-29,Pen,Stationery,10,34277,West
2024-06-24,Laptop,Electronics,11,12633,East
2024-01-13,Mobile,Electronics,3,29692,West
2024-01-20,Sofa,Furniture,4,4880,North
2024-05-22,Desk,Furniture,14,25647,West
2024-07-04,Table,Furniture,19,28412,East
2024-06-18,Chair,Furniture,17,42775,South
2024-04-10,Notebook,Stationery,11,2591,North
2024-01-05,Monitor,Electronics,12,48847,East
2024-11-06,Chair,Furniture,15,15302,West
2024-05-26,Mobile,Electronics,10,18177,North
2024-04-26,Pen,Stationery,5,32317,South
2024-05-08,Pen,Stationery,9,34799,South
2024-05-05,Chair,Furniture,15,46275,South
2024-09-28,Printer,Electronics,13,49112,North
2024-12-14,Pen,Stationery,5,47993,East
2024-03-26,Notebook,Stationery,16,3606,North
2024-04-03,Keyboard,Electronics,5,44178,South
2024-08-05,Desk,Furniture,5,29999,South
2024-01-23,Mouse,Electronics,4,37320,South
2024-10-16,Table,Furniture,5,31943,West
2024-04-05,Notebook,Stationery,19,35357,North
2024-10-06,Headphones,Electronics,4,27763,West
2024-06-08,Notebook,Stationery,17,49215,East
2024-06-27,Sofa,Furniture,1,4100,East
2024-06-16,Monitor,Electronics,3,32420,South
2024-04-04,Books,Stationery,13,20591,South
2024-08-02,Chair,Furniture,19,34950,North
2024-04-24,Desk,Furniture,10,9917,North
2024-03-15,Notebook,Stationery,18,26192,North
2024-12-22,Headphones,Electronics,4,44525,North
2024-02-05,Books,Stationery,3,20563,South
2024-07-01,Mouse,Electronics,5,44911,North
2024-10-12,Books,Stationery,3,21452,North
2024-12-07,Keyboard,Electronics,16,828,North
2024-08-20,Pen,Stationery,17,14023,East
2024-12-04,Mouse,Electronics,14,32407,South
2024-01-25,Books,Stationery,5,37359,West
2024-02-26,Books,Stationery,4,1267,East
2024-08-10,Headphones,Electronics,10,21789,South
2024-05-25,Tablet,Electronics,11,24494,East
2024-09-09,Mobile,Electronics,12,7156,South
2024-10-09,Notebook,Stationery,13,39181,South
2024-05-15,Chair,Furniture,5,27062,West
2024-08-04,Laptop,Electronics,17,40362,North
2024-12-29,Desk,Furniture,19,6688,South
2024-02-08,Pen,Stationery,10,28278,South
2024-08-07,Books,Stationery,13,21333,South
2024-12-26,Desk,Furniture,8,13216,East
2024-07-08,Tablet,Electronics,13,14783,North
2024-04-26,Books,Stationery,1,37897,South
2024-11-12,Desk,Furniture,13,22800,East
2024-08-16,Printer,Electronics,11,11103,West
2024-08-20,Pen,Stationery,18,6290,North
2024-02-23,Sofa,Furniture,1,42456,South
2024-11-25,Pen,Stationery,11,13423,West
2024-12-13,Desk,Furniture,8,9437,West
2024-08-07,Desk,Furniture,18,33407,North
2024-07-30,Monitor,Electronics,17,38188,North
2024-03-22,Headphones,Electronics,14,45545,East
2024-11-07,Mouse,Electronics,2,109,South
2024-04-28,Sofa,Furniture,13,37992,West
2024-08-11,Keyboard,Electronics,1,35061,East
2024-04-07,Tablet,Electronics,17,46640,North
2024-11-06,Pen,Stationery,1,504,South
2024-09-15,Headphones,Electronics,5,38857,North
2024-03-23,Books,Stationery,5,4909,North
2024-01-01,Keyboard,Electronics,9,38865,East
2024-10-14,Headphones,Electronics,4,22049,South
2024-09-15,Pen,Stationery,2,43225,East
2024-08-09,Desk,Furniture,1,8527,East
2024-10-29,Laptop,Electronics,16,19298,East
2024-03-15,Books,Stationery,14,37541,East
2024-11-01,Notebook,Stationery,2,7049,South
2024-11-03,Table,Furniture,15,23486,North
2024-09-03,Chair,Furniture,15,4737,South
2024-05-17,Books,Stationery,5,37760,West
2024-12-05,Mobile,Electronics,17,20063,West
2024-07-23,Mobile,Electronics,6,14488,South
2024-04-20,Pen,Stationery,16,45102,North
2024-01-08,Pen,Stationery,16,6338,West
2024-04-02,Tablet,Electronics,3,33534,West
2024-10-03,Chair,Furniture,19,24054,North
2024-01-22,Desk,Furniture,10,36768,North
2024-01-12,Chair,Furniture,5,39244,South
2024-10-27,Table,Furniture,17,26429,East
2024-08-01,Mobile,Electronics,15,5340,East
2024-01-26,Sofa,Furniture,16,4532,West
2024-09-09,Printer,Electronics,17,14278,West
2024-03-18,Pen,Stationery,14,28799,West
2024-11-07,Chair,Furniture,14,15134,East
2024-08-25,Pen,Stationery,15,17402,East
2024-10-20,Books,Stationery,18,40541,East
2024-07-20,Pen,Stationery,5,10367,East
2024-05-05,Laptop,Electronics,7,6329,West
2024-01-25,Laptop,Electronics,13,44343,West
2024-08-15,Sofa,Furniture,9,26834,East
2024-08-23,Table,Furniture,15,8043,East
2024-10-08,Chair,Furniture,5,19223,West
2024-08-16,Sofa,Furniture,13,47145,North
2024-04-21,Headphones,Electronics,6,1705,West
2024-08-30,Sofa,Furniture,9,13146,East
2024-08-07,Monitor,Electronics,6,41527,East
2024-03-02,Notebook,Stationery,17,46785,North
2024-01-26,Sofa,Furniture,11,13803,East
2024-04-27,Monitor,Electronics,5,6569,West
2024-02-16,Books,Stationery,17,39151,North
2024-05-18,Table,Furniture,6,1928,East
2024-06-26,Tablet,Electronics,3,20228,West
2024-01-13,Chair,Furniture,10,2319,West
2024-04-10,Desk,Furniture,1,1442,North
2024-02-07,Laptop,Electronics,11,27634,East
2024-11-13,Notebook,Stationery,17,18088,West
2024-03-16,Table,Furniture,11,5356,East
2024-02-29,Books,Stationery,8,36259,West
2024-08-16,Printer,Electronics,11,41932,South
2024-03-18,Sofa,Furniture,5,19382,South
2024-03-29,Desk,Furniture,13,17549,South
2024-12-18,Notebook,Stationery,19,7904,East
2024-05-24,Pen,Stationery,1,19196,North
2024-11-04,Pen,Stationery,2,18481,West
2024-05-13,Pen,Stationery,19,41257,East
2024-01-15,Pen,Stationery,8,31373,East
2024-06-05,Laptop,Electronics,7,1022,South
2024-10-15,Laptop,Electronics,5,32254,South
2024-05-02,Table,Furniture,10,37480,South
2024-10-29,Keyboard,Electronics,6,23810,West
2024-05-15,Printer,Electronics,15,36096,North
2024-06-21,Mouse,Electronics,4,35759,South
2024-10-18,Pen,Stationery,19,39766,South
2024-01-11,Pen,Stationery,5,5879,South
2024-07-18,Desk,Furniture,6,44265,East
2024-08-05,Notebook,Stationery,14,25038,North
2024-11-11,Table,Furniture,1,26315,East
2024-05-06,Printer,Electronics,5,38827,South
2024-01-29,Monitor,Electronics,9,20630,South
2024-09-13,Keyboard,Electronics,11,13818,South
2024-06-30,Headphones,Electronics,14,47623,East
2024-11-04,Laptop,Electronics,19,2808,North
2024-03-03,Desk,Furniture,9,40838,West
2024-07-28,Mobile,Electronics,11,8073,East
2024-12-29,Sofa,Furniture,17,6883,East
2024-07-16,Notebook,Stationery,7,5399,North
2024-06-02,Laptop,Electronics,11,4857,West
2024-03-24,Chair,Furniture,17,5044,North
2024-09-13,Monitor,Electronics,8,20906,West
2024-07-29,Keyboard,Electronics,19,24542,South
2024-10-12,Chair,Furniture,17,21008,West
2024-06-23,Notebook,Stationery,1,38358,South
2024-08-09,Table,Furniture,17,26837,South
2024-12-24,Pen,Stationery,4,12442,East
2024-06-10,Table,Furniture,19,10193,West
2024-12-14,Mouse,Electronics,18,19946,West
2024-09-11,Laptop,Electronics,3,47163,North
2024-03-07,Chair,Furniture,15,3400,East
